czas;code;val_num;val_str;val_combined
2026-08-24 00:58:13;dc_fan2;"0;0";;"0;0"
2026-08-24 00:58:40;back_temp;"18;7";;"18;7"
2026-08-24 00:58:40;m_eev;"480;0";;"480;0"
2026-08-24 00:58:40;dc_fan1;"0;0";;"0;0"
2026-08-24 00:59:27;a_eev;"10;0";;"10;0"
2026-08-24 00:59:27;tank_temp;"43;7";;"43;7"
2026-08-24 00:59:45;out_water_temp;"20;3";;"20;3"
2026-08-24 01:00:05;pump_sta;;False;"0;0"
2026-08-24 01:00:05;flow_rate;"0;0";;"0;0"
2026-08-24 01:00:05;valve;;False;"0;0"
2026-08-24 01:01:31;in_water_temp;"19;2";;"19;2"
2026-08-24 01:01:52;tidr;"23;1";;"23;1"
2026-08-24 01:02:12;disc_temp;"19;9";;"19;9"
2026-08-24 01:03:04;comp_freq;"0;0";;"0;0"
2026-08-24 01:03:04;amb_temp;"12;5";;"12;5"
2026-08-24 01:03:04;ac_curr;"0;0";;"0;0"
2026-08-24 01:03:13;fault_flag;;False;"0;0"
2026-08-24 01:03:13;protect_flag;;False;"0;0"
2026-08-24 01:03:13;ac_fan;;close;
2026-08-24 01:03:13;freeze;;False;"0;0"
2026-08-24 01:03:13;defrost;;False;"0;0"
2026-08-24 01:03:13;dc_fan2;"0;0";;"0;0"
2026-08-24 01:03:41;back_temp;"18;5";;"18;5"
2026-08-24 01:03:41;m_eev;"480;0";;"480;0"
2026-08-24 01:03:41;dc_fan1;"0;0";;"0;0"
2026-08-24 01:04:28;a_eev;"10;0";;"10;0"
2026-08-24 01:04:28;tank_temp;"43;7";;"43;7"
2026-08-24 01:04:56;out_water_temp;"20;2";;"20;2"
2026-08-24 01:05:13;pump_sta;;False;"0;0"
2026-08-24 01:05:13;flow_rate;"0;0";;"0;0"
2026-08-24 01:05:13;valve;;False;"0;0"
2026-08-24 01:06:33;in_water_temp;"19;0";;"19;0"
2026-08-24 01:06:58;tidr;"23;1";;"23;1"
2026-08-24 01:07:13;disc_temp;"19;9";;"19;9"
2026-08-24 01:07:26;tidr;"23;0";;"23;0"
2026-08-24 01:08:06;comp_freq;"0;0";;"0;0"
2026-08-24 01:08:06;amb_temp;"12;4";;"12;4"
2026-08-24 01:08:06;ac_curr;"0;0";;"0;0"
2026-08-24 01:08:15;fault_flag;;False;"0;0"
2026-08-24 01:08:15;protect_flag;;False;"0;0"
2026-08-24 01:08:15;ac_fan;;close;
2026-08-24 01:08:15;freeze;;False;"0;0"
2026-08-24 01:08:15;defrost;;False;"0;0"
2026-08-24 01:08:15;dc_fan2;"0;0";;"0;0"
2026-08-24 01:08:42;back_temp;"18;3";;"18;3"
2026-08-24 01:08:42;m_eev;"480;0";;"480;0"
2026-08-24 01:08:42;dc_fan1;"0;0";;"0;0"
2026-08-24 01:08:43;tidr;"23;1";;"23;1"
2026-08-24 01:09:29;a_eev;"10;0";;"10;0"
2026-08-24 01:09:29;tank_temp;"43;8";;"43;8"
2026-08-24 01:10:00;out_water_temp;"20;0";;"20;0"
2026-08-24 01:10:25;pump_sta;;False;"0;0"
2026-08-24 01:10:25;flow_rate;"0;0";;"0;0"
2026-08-24 01:10:25;valve;;False;"0;0"
2026-08-24 01:11:36;in_water_temp;"18;9";;"18;9"
2026-08-24 01:12:16;disc_temp;"19;7";;"19;7"
2026-08-24 01:12:53;tidr;"23;0";;"23;0"
2026-08-24 01:13:08;comp_freq;"0;0";;"0;0"
2026-08-24 01:13:08;amb_temp;"12;3";;"12;3"
2026-08-24 01:13:08;ac_curr;"0;0";;"0;0"
2026-08-24 01:13:24;fault_flag;;False;"0;0"
2026-08-24 01:13:24;protect_flag;;False;"0;0"
2026-08-24 01:13:24;ac_fan;;close;
2026-08-24 01:13:24;freeze;;False;"0;0"
2026-08-24 01:13:24;defrost;;False;"0;0"
2026-08-24 01:13:24;dc_fan2;"0;0";;"0;0"
2026-08-24 01:13:46;back_temp;"18;2";;"18;2"
2026-08-24 01:13:46;m_eev;"480;0";;"480;0"
2026-08-24 01:13:46;dc_fan1;"0;0";;"0;0"
2026-08-24 01:14:13;tidr;"23;1";;"23;1"
2026-08-24 01:14:32;a_eev;"10;0";;"10;0"
2026-08-24 01:14:32;tank_temp;"43;7";;"43;7"
2026-08-24 01:15:01;out_water_temp;"19;8";;"19;8"
2026-08-24 01:15:27;pump_sta;;False;"0;0"
2026-08-24 01:15:27;flow_rate;"0;0";;"0;0"
2026-08-24 01:15:27;valve;;False;"0;0"
2026-08-24 01:16:36;in_water_temp;"18;8";;"18;8"
2026-08-24 01:17:16;disc_temp;"19;5";;"19;5"
2026-08-24 01:18:09;comp_freq;"0;0";;"0;0"
2026-08-24 01:18:09;amb_temp;"12;3";;"12;3"
2026-08-24 01:18:09;ac_curr;"0;0";;"0;0"
2026-08-24 01:18:25;fault_flag;;False;"0;0"
2026-08-24 01:18:25;protect_flag;;False;"0;0"
2026-08-24 01:18:25;ac_fan;;close;
